,X,Y,Unique squirrel id,Hectare,Shift,Date,Hectare squirrel number,Age,Primary fur color,Combination of primary and highlight color,Location,Above ground sighter measurement,Running,Chasing,Climbing,Eating,Foraging,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Lat/long
348,-73.9703421391442,40.7773706575356,14D-AM-1014-01,14D,AM,2018-10-14,1,Adult,Gray,"Gray+Cinnamon, White",Ground Plane,FALSE,False,False,False,False,True,False,False,False,False,False,True,False,False,POINT (-73.9703421391442 40.7773706575356)
349,-73.9702420100291,40.7772720889907,14D-AM-1014-02,14D,AM,2018-10-14,2,Adult,Gray,"Gray+Cinnamon, White",Ground Plane,FALSE,False,False,False,False,True,False,False,False,False,False,False,True,False,POINT (-73.9702420100291 40.7772720889907)
350,-73.9708969246276,40.7767695507462,14D-AM-1014-03,14D,AM,2018-10-14,3,Adult,Gray,"Gray+Cinnamon, White",Ground Plane,FALSE,False,False,False,True,True,False,False,False,False,False,False,True,False,POINT (-73.9708969246276 40.7767695507462)
351,-73.9709207551033,40.7767932008037,14D-AM-1014-04,14D,AM,2018-10-14,4,Adult,Gray,"Gray+Cinnamon, White",Ground Plane,FALSE,False,False,False,False,True,False,False,False,False,False,True,False,False,POINT (-73.9709207551033 40.7767932008037)
352,-73.970962498391,40.7766899040856,14D-AM-1014-05,14D,AM,2018-10-14,5,Adult,Gray,"Gray+Cinnamon, White",Ground Plane,FALSE,False,False,False,False,True,False,False,False,False,False,False,True,False,POINT (-73.970962498391 40.7766899040856)
353,-73.9709722223794,40.7767329646325,14D-AM-1014-06,14D,AM,2018-10-14,6,Adult,Gray,"Gray+Cinnamon, White",Ground Plane,FALSE,False,False,False,False,True,False,False,False,False,False,False,True,False,POINT (-73.9709722223794 40.7767329646325)
354,-73.9709797467807,40.7769095710679,14D-AM-1014-07,14D,AM,2018-10-14,7,Adult,Gray,"Gray+Cinnamon, White",Ground Plane,FALSE,False,False,False,False,True,False,False,False,False,False,True,False,False,POINT (-73.9709797467807 40.7769095710679)
355,-73.9708782966369,40.776946866963,14D-AM-1014-08,14D,AM,2018-10-14,8,Adult,Gray,"Gray+Cinnamon, White",Ground Plane,FALSE,False,False,False,False,True,False,False,False,False,False,False,True,False,POINT (-73.9708782966369 40.77694686696301)
356,-73.9707900566519,40.7771670550089,14D-AM-1014-09,14D,AM,2018-10-14,9,Adult,Gray,"Gray+Cinnamon, White",Above Ground,30,False,False,True,False,False,False,False,False,False,False,False,True,False,POINT (-73.9707900566519 40.7771670550089)
357,-73.9713330594434,40.7771924214236,14D-AM-1014-10,14D,AM,2018-10-14,10,Adult,Gray,"Gray+Cinnamon, White",Ground Plane,FALSE,False,False,False,False,True,False,False,False,False,False,False,True,False,POINT (-73.9713330594434 40.7771924214236)
358,-73.9714921188372,40.776758371867,14D-AM-1014-11,14D,AM,2018-10-14,11,Adult,Gray,"Gray+Cinnamon, White",Ground Plane,FALSE,False,False,False,False,True,False,False,False,False,False,False,True,False,POINT (-73.9714921188372 40.776758371867)
359,-73.9714089647431,40.7767916587915,14D-AM-1014-12,14D,AM,2018-10-14,12,Adult,Gray,"Gray+Cinnamon, White",Ground Plane,FALSE,False,False,False,True,True,False,False,False,False,False,True,False,False,POINT (-73.9714089647431 40.7767916587915)
360,-73.9709407456459,40.776423522087,14D-AM-1014-13,14D,AM,2018-10-14,13,Adult,Gray,"Gray+Cinnamon, White",,,False,False,False,False,True,False,False,False,False,False,False,True,False,POINT (-73.9709407456459 40.776423522087)
361,-73.9708371806429,40.7764813666684,14D-AM-1014-14,14D,AM,2018-10-14,14,Adult,Gray,"Gray+Cinnamon, White",,,False,False,False,False,True,False,False,False,False,False,False,True,False,POINT (-73.9708371806429 40.7764813666684)
362,-73.9709534894049,40.7765964740768,14D-AM-1014-15,14D,AM,2018-10-14,15,Adult,Gray,"Gray+Cinnamon, White",Ground Plane,FALSE,False,False,False,True,True,False,False,False,False,False,True,False,False,POINT (-73.9709534894049 40.7765964740768)
363,-73.9709104380323,40.7769096957616,14D-AM-1014-16,14D,AM,2018-10-14,16,Adult,Gray,"Gray+Cinnamon, White",Ground Plane,FALSE,False,False,True,False,False,False,False,False,False,False,False,True,False,POINT (-73.9709104380323 40.7769096957616)
364,-73.9714637683084,40.7768984561563,14D-PM-1019-01,14D,PM,2018-10-19,1,Adult,Gray,Gray+,Ground Plane,FALSE,False,True,False,False,False,False,False,False,False,False,False,False,False,POINT (-73.9714637683084 40.7768984561563)
365,-73.9714295102249,40.776954371947,14D-PM-1019-02,14D,PM,2018-10-19,2,Adult,Gray,Gray+,Ground Plane,FALSE,False,True,False,False,False,False,False,False,False,False,False,False,False,POINT (-73.9714295102249 40.776954371947)
367,-73.9712318712643,40.7773053099657,14D-PM-1019-04,14D,PM,2018-10-19,4,Adult,Gray,Gray+,Ground Plane,FALSE,False,False,False,True,False,False,False,False,False,False,False,False,False,POINT (-73.9712318712643 40.7773053099657)
368,-73.9711810222421,40.7773445611969,14D-PM-1019-05,14D,PM,2018-10-19,5,Adult,Gray,Gray+,Ground Plane,FALSE,True,False,False,False,False,False,False,False,False,False,False,False,False,POINT (-73.9711810222421 40.7773445611969)
